"match_id","start_time","win","hero_id","account_id","leaguename"
4042058174,1533391207,false,3,113331514,"Uprise Champions Cup: Special"
4042058174,1533391207,false,46,96183976,"Uprise Champions Cup: Special"
4042058174,1533391207,false,53,52309044,"Uprise Champions Cup: Special"
4042058174,1533391207,false,6,132739889,"Uprise Champions Cup: Special"
4042058174,1533391207,false,79,82305765,"Uprise Champions Cup: Special"
4042058174,1533391207,true,5,6103402,"Uprise Champions Cup: Special"
4042058174,1533391207,true,112,86040272,"Uprise Champions Cup: Special"
4042058174,1533391207,true,61,122049498,"Uprise Champions Cup: Special"
4042058174,1533391207,true,36,92477990,"Uprise Champions Cup: Special"
4042058174,1533391207,true,78,176988393,"Uprise Champions Cup: Special"
4042242363,1533395513,true,110,113331514,"Uprise Champions Cup: Special"
4042242363,1533395513,true,17,96183976,"Uprise Champions Cup: Special"
4042242363,1533395513,true,9,52309044,"Uprise Champions Cup: Special"
4042242363,1533395513,true,20,82305765,"Uprise Champions Cup: Special"
4042242363,1533395513,true,63,132739889,"Uprise Champions Cup: Special"
4042242363,1533395513,false,30,6103402,"Uprise Champions Cup: Special"
4042242363,1533395513,false,112,86040272,"Uprise Champions Cup: Special"
4042242363,1533395513,false,67,122049498,"Uprise Champions Cup: Special"
4042242363,1533395513,false,13,92477990,"Uprise Champions Cup: Special"
4042242363,1533395513,false,36,176988393,"Uprise Champions Cup: Special"
4042395760,1533400282,true,64,113331514,"Uprise Champions Cup: Special"
4042395760,1533400282,true,21,82305765,"Uprise Champions Cup: Special"
4042395760,1533400282,true,19,52309044,"Uprise Champions Cup: Special"
4042395760,1533400282,true,17,96183976,"Uprise Champions Cup: Special"
4042395760,1533400282,true,6,132739889,"Uprise Champions Cup: Special"
4042395760,1533400282,false,30,6103402,"Uprise Champions Cup: Special"
4042395760,1533400282,false,119,86040272,"Uprise Champions Cup: Special"
4042395760,1533400282,false,67,122049498,"Uprise Champions Cup: Special"
4042395760,1533400282,false,22,92477990,"Uprise Champions Cup: Special"
4042395760,1533400282,false,53,176988393,"Uprise Champions Cup: Special"
4042507938,1533404488,true,75,94049589,"Uprise Champions Cup: Special"
4042507938,1533404488,true,67,100058342,"Uprise Champions Cup: Special"
4042507938,1533404488,true,104,43619695,"Uprise Champions Cup: Special"
4042507938,1533404488,true,5,109512357,"Uprise Champions Cup: Special"
4042507938,1533404488,true,36,87586992,"Uprise Champions Cup: Special"
4042507938,1533404488,false,22,99539136,"Uprise Champions Cup: Special"
4042507938,1533404488,false,73,83867257,"Uprise Champions Cup: Special"
